Port,Volume_Conteneurs_Vides,Bateau_Entreprise,Pourcentage_Conteneurs_Vides,Presence_Moyenne_Jours,Type_Conteneur,Risque_Vide
Singapour,107231,Yang Ming,11.5,7,Alimentaires,Moyenne
Shenzen,88838,ONE,11.1,5,Petites Entreprises,Moyenne
Qingdao,89338,Hapag-Lloyd,10.0,7,Petites Entreprises,Haute
Tianjin,87580,CMA CGM,11.4,6,Entreprises Grande Taille,Haute
Rotterdam,93234,COSCO,11.0,7,Industriels,Haute
Shangai,124961,COSCO,13.4,7,Entreprises Grande Taille,Basse
Rotterdam,96274,Hapag-Lloyd,14.8,3,Entreprises Grande Taille,Haute
Qingdao,73483,Maersk,12.0,6,Petites Entreprises,Haute
Singapour,100964,Evergreen,14.6,4,Entreprises Grande Taille,Basse
Singapour,93462,ONE,10.7,5,Alimentaires,Moyenne
Singapour,127806,COSCO,10.4,4,Industriels,Haute
Tianjin,78074,CMA CGM,12.5,3,Industriels,Moyenne
Tianjin,80920,Evergreen,9.6,6,Entreprises Grande Taille,Moyenne
Singapour,102454,Evergreen,10.8,5,Particuliers,Moyenne
Guangzou,108367,ZIM,11.6,5,Petites Entreprises,Moyenne
Shangai,126810,Yang Ming,10.1,6,Petites Entreprises,Haute
Guangzou,100983,Yang Ming,10.3,3,Industriels,Basse
Hong Kong,93585,COSCO,11.1,6,Petites Entreprises,Haute
Ningbo Zhoushan,102333,ONE,11.5,3,Alimentaires,Haute
Hong Kong,91406,MSC,12.2,3,Petites Entreprises,Moyenne
Tianjin,70753,Maersk,10.0,7,Particuliers,Basse
Qingdao,90722,COSCO,12.3,6,Particuliers,Basse
Busan,85537,Hapag-Lloyd,11.2,7,Entreprises Grande Taille,Haute
Hong Kong,80883,Hapag-Lloyd,14.3,7,Particuliers,Moyenne
Shangai,144370,MSC,9.1,6,Industriels,Moyenne
Singapour,128680,ZIM,10.1,4,Petites Entreprises,Haute
Guangzou,103510,ONE,11.3,5,Industriels,Haute
Qingdao,89725,Yang Ming,10.2,3,Alimentaires,Haute
Qingdao,101337,Maersk,13.8,3,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,134460,Hapag-Lloyd,12.1,5,Petites Entreprises,Haute
Qingdao,80490,Evergreen,14.8,6,Industriels,Basse
Singapour,104199,Yang Ming,13.1,4,Industriels,Moyenne
Shangai,136646,COSCO,12.0,7,Particuliers,Basse
Hong Kong,92870,CMA CGM,10.3,5,Entreprises Grande Taille,Moyenne
Rotterdam,119843,ONE,9.6,4,Alimentaires,Haute
Tianjin,80885,ZIM,11.4,7,Entreprises Grande Taille,Moyenne
Shenzen,105336,Yang Ming,11.8,6,Alimentaires,Haute
Guangzou,108555,COSCO,12.5,4,Entreprises Grande Taille,Moyenne
Shenzen,83301,CMA CGM,13.9,6,Particuliers,Moyenne
Rotterdam,85755,Hapag-Lloyd,12.8,3,Petites Entreprises,Haute
Rotterdam,91099,Evergreen,12.1,6,Petites Entreprises,Basse
Shangai,152961,Hapag-Lloyd,14.3,5,Industriels,Basse
Busan,96026,CMA CGM,13.7,7,Alimentaires,Haute
Tianjin,81648,ONE,12.6,3,Petites Entreprises,Haute
Guangzou,74073,MSC,9.0,5,Particuliers,Moyenne
Tianjin,90812,ONE,10.9,7,Alimentaires,Haute
Qingdao,96250,Yang Ming,11.4,7,Particuliers,Haute
Shangai,127834,Yang Ming,10.8,3,Industriels,Basse
Shangai,134979,Yang Ming,14.6,4,Entreprises Grande Taille,Moyenne
Singapour,114933,COSCO,10.8,5,Particuliers,Haute
Shangai,141434,Evergreen,10.5,3,Industriels,Basse
Ningbo Zhoushan,141332,Maersk,11.7,6,Entreprises Grande Taille,Basse
Qingdao,96937,MSC,14.4,6,Entreprises Grande Taille,Haute
Ningbo Zhoushan,117329,Maersk,11.9,4,Alimentaires,Haute
Tianjin,72914,MSC,9.2,6,Particuliers,Moyenne
Hong Kong,77219,CMA CGM,9.1,6,Industriels,Basse
Tianjin,93254,MSC,12.0,4,Petites Entreprises,Haute
Guangzou,109207,ZIM,13.1,4,Industriels,Basse
Guangzou,86013,ZIM,12.3,3,Petites Entreprises,Haute
Singapour,102939,CMA CGM,14.4,5,Alimentaires,Haute
Guangzou,106140,Hapag-Lloyd,14.0,4,Petites Entreprises,Haute
Ningbo Zhoushan,127743,Hapag-Lloyd,10.3,6,Alimentaires,Haute
Qingdao,88159,COSCO,13.4,7,Industriels,Moyenne
Shenzen,102321,MSC,9.5,7,Petites Entreprises,Moyenne
Shenzen,90668,Yang Ming,11.8,4,Entreprises Grande Taille,Basse
Shangai,120363,Hapag-Lloyd,12.7,7,Industriels,Moyenne
Busan,82493,ZIM,12.0,7,Petites Entreprises,Basse
Singapour,134403,COSCO,10.5,6,Petites Entreprises,Haute
Rotterdam,90923,COSCO,13.8,5,Petites Entreprises,Moyenne
Rotterdam,88544,COSCO,10.8,6,Alimentaires,Haute
Rotterdam,117180,Hapag-Lloyd,13.7,5,Industriels,Moyenne
Tianjin,88509,COSCO,9.7,5,Entreprises Grande Taille,Moyenne
Rotterdam,112673,COSCO,13.9,4,Entreprises Grande Taille,Moyenne
Shangai,107054,Hapag-Lloyd,14.6,6,Petites Entreprises,Moyenne
Ningbo Zhoushan,128476,COSCO,13.4,5,Petites Entreprises,Moyenne
Busan,71582,Hapag-Lloyd,10.8,7,Petites Entreprises,Moyenne
Busan,97329,Hapag-Lloyd,10.9,3,Particuliers,Moyenne
Shangai,143448,Hapag-Lloyd,14.5,7,Particuliers,Basse
Tianjin,66205,Yang Ming,9.8,6,Industriels,Basse
Qingdao,73291,CMA CGM,14.1,7,Alimentaires,Haute
Shangai,144790,Maersk,10.2,3,Petites Entreprises,Moyenne
Busan,79461,ONE,12.4,5,Entreprises Grande Taille,Haute
Rotterdam,96802,COSCO,9.3,7,Entreprises Grande Taille,Moyenne
Qingdao,101520,ONE,13.6,4,Alimentaires,Haute
Shenzen,83398,Evergreen,11.7,7,Alimentaires,Moyenne
Tianjin,66511,Yang Ming,13.9,6,Industriels,Basse
Ningbo Zhoushan,126699,Maersk,11.5,3,Alimentaires,Haute
Shenzen,111394,ONE,10.5,7,Particuliers,Haute
Shangai,148428,COSCO,9.5,3,Entreprises Grande Taille,Basse
Tianjin,66562,Maersk,14.5,7,Alimentaires,Haute
Hong Kong,83328,Hapag-Lloyd,12.9,7,Alimentaires,Basse
Rotterdam,111766,ONE,10.9,3,Petites Entreprises,Haute
Rotterdam,93005,MSC,14.1,6,Alimentaires,Moyenne
Qingdao,91895,Hapag-Lloyd,9.3,5,Particuliers,Moyenne
Singapour,126701,COSCO,12.4,4,Industriels,Moyenne
Qingdao,80367,ZIM,10.5,6,Entreprises Grande Taille,Basse
Qingdao,81636,CMA CGM,9.1,5,Industriels,Moyenne
Singapour,120145,Yang Ming,11.7,7,Alimentaires,Haute
Tianjin,68661,COSCO,11.8,7,Particuliers,Basse
Guangzou,89753,CMA CGM,14.0,7,Industriels,Basse
Ningbo Zhoushan,123936,CMA CGM,11.0,6,Particuliers,Haute
Qingdao,76062,COSCO,14.4,5,Industriels,Haute
Rotterdam,99211,Yang Ming,12.9,5,Entreprises Grande Taille,Moyenne
Guangzou,106727,CMA CGM,10.3,5,Particuliers,Haute
Guangzou,94825,Hapag-Lloyd,10.5,6,Entreprises Grande Taille,Moyenne
Shenzen,102191,Evergreen,13.7,7,Industriels,Moyenne
Qingdao,82905,Hapag-Lloyd,10.1,6,Industriels,Moyenne
Rotterdam,86488,COSCO,13.9,4,Petites Entreprises,Basse
Singapour,129554,ONE,14.3,4,Industriels,Haute
Busan,87853,ONE,11.4,6,Alimentaires,Moyenne
Busan,96620,Evergreen,10.4,7,Particuliers,Haute
Qingdao,83104,Evergreen,11.9,4,Entreprises Grande Taille,Moyenne
Busan,90541,MSC,10.8,3,Industriels,Basse
Singapour,133666,ONE,14.2,4,Particuliers,Moyenne
Shenzen,112619,Hapag-Lloyd,9.3,3,Petites Entreprises,Haute
Hong Kong,65410,Hapag-Lloyd,12.4,7,Entreprises Grande Taille,Basse
Guangzou,108438,ONE,11.0,4,Entreprises Grande Taille,Basse
Guangzou,74093,MSC,11.5,6,Alimentaires,Moyenne
Ningbo Zhoushan,112466,Yang Ming,13.4,7,Particuliers,Basse
Tianjin,74067,Maersk,14.4,6,Particuliers,Haute
Rotterdam,117527,ZIM,12.9,7,Alimentaires,Moyenne
Busan,96765,COSCO,12.6,5,Industriels,Haute
Guangzou,109223,COSCO,11.9,4,Industriels,Basse
Guangzou,85397,COSCO,9.7,4,Petites Entreprises,Haute
Singapour,122497,ZIM,10.8,6,Particuliers,Haute
Ningbo Zhoushan,130850,ZIM,12.3,5,Particuliers,Moyenne
Busan,71562,ZIM,10.1,6,Industriels,Moyenne
Shenzen,116401,ZIM,9.1,5,Petites Entreprises,Haute
Singapour,131146,ONE,10.9,5,Alimentaires,Haute
Ningbo Zhoushan,110649,CMA CGM,14.1,5,Particuliers,Basse
Guangzou,76410,MSC,13.1,4,Alimentaires,Moyenne
Qingdao,98972,CMA CGM,13.0,4,Alimentaires,Moyenne
Guangzou,92855,Maersk,13.4,4,Industriels,Haute
Busan,86876,Maersk,9.3,6,Entreprises Grande Taille,Moyenne
Singapour,120166,CMA CGM,9.7,6,Petites Entreprises,Haute
Hong Kong,70029,Maersk,10.8,3,Particuliers,Moyenne
Shangai,134419,ZIM,14.9,6,Entreprises Grande Taille,Moyenne
Guangzou,74375,MSC,14.5,3,Alimentaires,Haute
Tianjin,67432,Yang Ming,13.3,3,Petites Entreprises,Moyenne
Ningbo Zhoushan,134688,COSCO,12.5,5,Entreprises Grande Taille,Haute
Shangai,125791,Maersk,14.6,5,Alimentaires,Haute
Rotterdam,82729,MSC,14.8,6,Particuliers,Haute
Shenzen,110742,ONE,10.0,3,Entreprises Grande Taille,Moyenne
Busan,98253,Evergreen,12.3,6,Alimentaires,Haute
Singapour,96047,CMA CGM,10.2,4,Particuliers,Haute
Guangzou,102469,ONE,10.4,3,Industriels,Haute
Qingdao,102509,Evergreen,12.0,5,Alimentaires,Haute
Shenzen,93937,ONE,9.3,5,Entreprises Grande Taille,Moyenne
Busan,105271,CMA CGM,10.6,7,Entreprises Grande Taille,Moyenne
Rotterdam,82278,MSC,11.4,5,Alimentaires,Haute
Tianjin,72735,COSCO,10.8,6,Alimentaires,Haute
Qingdao,72039,COSCO,12.3,4,Entreprises Grande Taille,Haute
Guangzou,83710,Hapag-Lloyd,9.8,3,Particuliers,Moyenne
Rotterdam,105668,COSCO,10.4,6,Particuliers,Haute
Tianjin,81508,ZIM,11.4,3,Petites Entreprises,Haute
Singapour,100843,Yang Ming,13.0,3,Alimentaires,Basse
Ningbo Zhoushan,131265,ZIM,14.2,4,Petites Entreprises,Moyenne
Rotterdam,86036,Evergreen,13.0,6,Particuliers,Haute
Guangzou,96526,ONE,12.9,3,Petites Entreprises,Moyenne
Tianjin,73751,MSC,10.9,6,Particuliers,Basse
Singapour,106209,ZIM,12.6,6,Industriels,Moyenne
Busan,82741,Hapag-Lloyd,13.4,3,Alimentaires,Haute
Hong Kong,66032,Hapag-Lloyd,9.7,5,Alimentaires,Moyenne
Singapour,118774,ZIM,9.5,5,Petites Entreprises,Haute
Ningbo Zhoushan,107403,COSCO,14.8,3,Alimentaires,Haute
Busan,106336,Evergreen,9.1,5,Particuliers,Haute
Busan,93357,MSC,11.4,7,Particuliers,Haute
Shenzen,88386,COSCO,10.0,4,Industriels,Moyenne
Guangzou,110121,Maersk,10.7,4,Alimentaires,Haute
Singapour,137739,MSC,12.2,4,Alimentaires,Basse
Shenzen,86129,CMA CGM,13.0,7,Industriels,Moyenne
Singapour,122194,ONE,11.0,6,Alimentaires,Moyenne
Singapour,114111,ZIM,14.1,3,Entreprises Grande Taille,Basse
Guangzou,88984,Hapag-Lloyd,13.0,3,Entreprises Grande Taille,Basse
Tianjin,81509,COSCO,12.9,5,Industriels,Moyenne
Rotterdam,95139,COSCO,11.6,4,Particuliers,Basse
Qingdao,98514,Yang Ming,14.3,5,Particuliers,Moyenne
Guangzou,110192,Maersk,14.0,6,Petites Entreprises,Moyenne
Shenzen,90313,ONE,11.6,5,Entreprises Grande Taille,Basse
Shenzen,106127,ONE,9.1,3,Alimentaires,Haute
Hong Kong,85302,MSC,12.7,4,Entreprises Grande Taille,Moyenne
Tianjin,89272,ONE,9.4,5,Particuliers,Haute
Qingdao,78884,Hapag-Lloyd,11.1,5,Entreprises Grande Taille,Moyenne
Qingdao,72222,ZIM,12.2,4,Entreprises Grande Taille,Basse
Shangai,119299,Yang Ming,12.2,5,Industriels,Moyenne
Shangai,109961,ZIM,14.8,3,Alimentaires,Haute
Shangai,109158,Yang Ming,12.9,7,Petites Entreprises,Haute
Hong Kong,73556,Maersk,11.4,7,Petites Entreprises,Haute
Qingdao,102863,ZIM,9.6,4,Entreprises Grande Taille,Basse
Guangzou,86555,MSC,9.3,6,Particuliers,Haute
Tianjin,88367,MSC,14.8,4,Industriels,Moyenne
Hong Kong,92820,ZIM,11.7,3,Particuliers,Basse
Tianjin,82337,ZIM,11.0,5,Petites Entreprises,Haute
Shangai,152368,Maersk,12.9,5,Particuliers,Haute
Ningbo Zhoushan,115942,ONE,10.5,7,Entreprises Grande Taille,Basse
Busan,89412,ZIM,14.1,7,Alimentaires,Haute
Hong Kong,91833,MSC,14.1,6,Industriels,Moyenne
Qingdao,75218,ONE,10.8,4,Entreprises Grande Taille,Moyenne
Qingdao,92809,COSCO,11.1,3,Entreprises Grande Taille,Haute
Singapour,99498,CMA CGM,13.4,4,Particuliers,Haute
Shenzen,92273,Yang Ming,11.1,3,Entreprises Grande Taille,Moyenne
Rotterdam,98730,COSCO,14.3,6,Alimentaires,Moyenne
Hong Kong,83451,MSC,11.3,5,Petites Entreprises,Haute
Shenzen,85530,ZIM,12.6,3,Petites Entreprises,Basse
Singapour,110616,ZIM,12.1,6,Petites Entreprises,Haute
Busan,103200,Yang Ming,11.0,3,Industriels,Basse
Tianjin,96501,Yang Ming,13.9,3,Entreprises Grande Taille,Haute
Singapour,94828,Yang Ming,12.2,4,Particuliers,Basse
Tianjin,72032,ONE,14.3,7,Petites Entreprises,Haute
Shangai,123637,Evergreen,13.5,7,Entreprises Grande Taille,Haute
Qingdao,96856,ONE,9.0,6,Alimentaires,Haute
Guangzou,86092,MSC,12.6,4,Alimentaires,Haute
Hong Kong,89457,MSC,11.2,3,Entreprises Grande Taille,Basse
Hong Kong,67066,MSC,13.6,6,Industriels,Moyenne
Busan,87288,ONE,9.9,3,Industriels,Moyenne
Hong Kong,85356,COSCO,12.6,3,Entreprises Grande Taille,Basse
Busan,85771,Yang Ming,12.5,3,Industriels,Moyenne
Ningbo Zhoushan,113492,MSC,14.2,4,Entreprises Grande Taille,Basse
Tianjin,77882,Evergreen,10.7,4,Particuliers,Basse
Guangzou,102322,Maersk,10.2,7,Entreprises Grande Taille,Moyenne
Qingdao,78932,MSC,10.8,5,Entreprises Grande Taille,Basse
Rotterdam,92205,Maersk,9.3,6,Entreprises Grande Taille,Haute
Hong Kong,68687,Hapag-Lloyd,11.4,7,Alimentaires,Basse
Ningbo Zhoushan,135588,CMA CGM,12.2,6,Petites Entreprises,Haute
Shangai,137577,MSC,10.9,3,Entreprises Grande Taille,Basse
Tianjin,81926,Evergreen,11.9,6,Petites Entreprises,Moyenne
Singapour,132012,Hapag-Lloyd,14.0,3,Petites Entreprises,Basse
Tianjin,88209,COSCO,12.4,3,Alimentaires,Moyenne
Hong Kong,70242,ONE,14.3,6,Alimentaires,Haute
Ningbo Zhoushan,129410,Maersk,13.4,7,Particuliers,Moyenne
Shangai,122751,Maersk,14.8,3,Particuliers,Moyenne
Guangzou,99250,Evergreen,14.6,6,Particuliers,Moyenne
Tianjin,83984,CMA CGM,10.7,5,Particuliers,Moyenne
Shangai,145093,ONE,12.8,3,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,125502,Yang Ming,11.6,6,Entreprises Grande Taille,Basse
Tianjin,69306,COSCO,12.7,4,Entreprises Grande Taille,Haute
Busan,96888,ZIM,12.7,4,Entreprises Grande Taille,Basse
Qingdao,79126,ONE,11.7,6,Particuliers,Moyenne
Guangzou,96256,Maersk,10.3,7,Particuliers,Moyenne
Singapour,123989,Maersk,13.3,5,Alimentaires,Basse
Ningbo Zhoushan,134242,COSCO,9.3,5,Industriels,Basse
Tianjin,84953,Evergreen,13.9,7,Petites Entreprises,Basse
Tianjin,79868,ZIM,11.9,5,Industriels,Moyenne
Guangzou,95978,Yang Ming,10.9,4,Petites Entreprises,Haute
Shenzen,104661,Hapag-Lloyd,13.3,7,Alimentaires,Moyenne
Rotterdam,118094,CMA CGM,10.1,3,Entreprises Grande Taille,Moyenne
Singapour,109551,Evergreen,11.2,7,Entreprises Grande Taille,Basse
Hong Kong,75126,MSC,12.3,6,Industriels,Moyenne
Hong Kong,72808,Maersk,12.3,6,Particuliers,Haute
Rotterdam,96648,Yang Ming,10.7,5,Petites Entreprises,Moyenne
Busan,76125,Hapag-Lloyd,11.8,3,Petites Entreprises,Moyenne
Busan,85815,Maersk,10.7,4,Petites Entreprises,Basse
Tianjin,72019,Yang Ming,9.2,6,Petites Entreprises,Basse
Rotterdam,119868,Maersk,12.6,6,Industriels,Moyenne
Rotterdam,113543,ONE,14.4,3,Entreprises Grande Taille,Basse
Qingdao,83944,ZIM,11.3,3,Industriels,Basse
Shenzen,103529,COSCO,11.4,3,Particuliers,Moyenne
Qingdao,71322,Maersk,9.6,5,Entreprises Grande Taille,Basse
Shangai,121290,Maersk,10.5,7,Entreprises Grande Taille,Basse
Qingdao,74349,MSC,11.7,3,Industriels,Moyenne
Rotterdam,101443,ONE,9.1,7,Industriels,Haute
Hong Kong,91919,ONE,12.4,7,Industriels,Moyenne
Guangzou,75324,ZIM,9.6,6,Particuliers,Basse
Hong Kong,65959,ONE,9.2,3,Petites Entreprises,Haute
Tianjin,87264,COSCO,14.7,3,Alimentaires,Haute
Tianjin,76138,MSC,11.6,5,Entreprises Grande Taille,Moyenne
Singapour,133891,CMA CGM,10.4,3,Entreprises Grande Taille,Haute
Shenzen,112990,Evergreen,10.8,7,Entreprises Grande Taille,Moyenne
Shangai,127334,ZIM,11.9,3,Industriels,Haute
Rotterdam,107382,Evergreen,13.4,4,Particuliers,Basse
Hong Kong,93390,Evergreen,14.2,4,Industriels,Basse
Ningbo Zhoushan,126796,Maersk,10.4,6,Entreprises Grande Taille,Moyenne
Singapour,119229,MSC,14.5,4,Entreprises Grande Taille,Haute
Ningbo Zhoushan,132293,ZIM,9.3,3,Industriels,Moyenne
Rotterdam,116609,CMA CGM,12.6,5,Alimentaires,Basse
Hong Kong,65043,Yang Ming,10.4,7,Particuliers,Moyenne
Tianjin,92249,CMA CGM,12.3,3,Industriels,Basse
Hong Kong,72947,MSC,10.9,4,Petites Entreprises,Basse
Rotterdam,85270,COSCO,9.6,4,Alimentaires,Basse
Singapour,111667,MSC,10.7,3,Industriels,Basse
Tianjin,91782,ONE,12.4,3,Alimentaires,Haute
Singapour,110333,Evergreen,13.4,7,Particuliers,Haute
Rotterdam,112855,MSC,11.3,7,Industriels,Haute
Rotterdam,96241,COSCO,13.9,4,Particuliers,Haute
Shenzen,98218,COSCO,12.5,5,Particuliers,Moyenne
Rotterdam,83538,ZIM,9.1,5,Entreprises Grande Taille,Haute
Singapour,137985,Evergreen,11.1,4,Entreprises Grande Taille,Haute
Shangai,127608,Yang Ming,9.8,3,Entreprises Grande Taille,Basse
Singapour,121552,Evergreen,13.5,6,Alimentaires,Haute
Shenzen,94927,ZIM,11.9,5,Particuliers,Basse
Qingdao,91141,ONE,12.6,4,Entreprises Grande Taille,Basse
Ningbo Zhoushan,139885,Maersk,10.3,5,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,123462,ONE,14.5,4,Entreprises Grande Taille,Basse
Ningbo Zhoushan,134095,Maersk,9.6,3,Entreprises Grande Taille,Haute
Hong Kong,83676,COSCO,10.3,6,Industriels,Basse
Guangzou,88954,Evergreen,11.3,5,Petites Entreprises,Haute
